input number,runtime_numpy,runtime_list
1,7.48000000000415e-05,7.500000000160156e-06
10,8.790000000002962e-05,4.4200000000049755e-05
100,0.00021210000000004836,0.002609899999999943
1000,0.014974800000000066,0.20359429999999978
10000,1.3271888,15.3854529
